duration,distance,max_heart_rate,effort,pace,speed_m_s,cluster
3839,10.1,159.0,20.0,6.334983498349835,2.6308934618390207,0
3680,9.8,156.0,26.0,6.258503401360544,2.6630434782608696,0
4194,8.08,179.0,60.0,8.650990099009901,1.9265617548879352,1
3837,9.71,174.0,62.0,6.585993820803295,2.5306228824602552,0
4007,10.46,161.0,28.0,6.3846398980242185,2.6104317444472174,0
4019,10.1,150.0,65.0,6.632013201320133,2.5130629509828317,0
4230,10.51,153.0,18.0,6.7078972407231205,2.4846335697399526,1
4176,10.48,153.0,18.0,6.6412213740458,2.5095785440613025,1
4036,10.45,163.0,67.0,6.437001594896332,2.589197224975223,0
3570,9.85,173.0,52.0,6.040609137055838,2.7591036414565826,0
3794,9.9,165.0,35.0,6.387205387205387,2.6093832366895096,0
3796,9.77,172.0,33.0,6.475605595359945,2.5737618545837724,0
3870,9.85,182.0,108.0,6.548223350253807,2.545219638242894,0
4597,10.1,184.0,108.0,7.585808580858085,2.1970850554709593,3
4008,10.22,148.0,16.0,6.536203522504891,2.5499001996007986,0
3826,9.73,150.0,16.0,6.553614251455977,2.5431259801359123,0
3877,10.16,156.0,64.0,6.359908136482939,2.6205829249419654,0
3859,9.75,164.0,17.0,6.596581196581196,2.5265612853070745,0
3711,9.71,211.0,29.0,6.3697219361483,2.616545405551064,0
4165,10.6,152.0,17.0,6.548742138364781,2.545018007202881,0
3993,9.93,155.0,17.0,6.701913393756294,2.4868519909842224,1
3969,10.09,158.0,18.0,6.55599603567889,2.5422020660115896,0
4042,10.0,161.0,17.0,6.736666666666666,2.4740227610094014,1
4250,10.35,153.0,17.0,6.843800322061192,2.4352941176470586,1
4067,10.25,160.0,17.0,6.613008130081301,2.520285222522744,0
4098,10.14,154.0,17.0,6.735700197238658,2.4743777452415814,1
4279,10.55,150.0,17.0,6.759873617693522,2.4655293292825426,1
4160,9.87,171.0,18.0,7.0246538331644715,2.3725961538461537,1
4081,10.41,165.0,20.0,6.533781620236952,2.55084538103406,0
4350,10.29,159.0,19.0,7.0456754130223525,2.3655172413793104,1
4056,10.13,165.0,23.0,6.673247778874629,2.497534516765286,0
4014,10.12,163.0,22.0,6.610671936758894,2.521175884404584,0
3567,9.7,170.0,24.0,6.128865979381444,2.71937202130642,0
4018,9.84,170.0,16.0,6.805555555555556,2.4489795918367347,1
3953,10.13,159.0,18.0,6.503784139519579,2.5626106754363773,0
3927,9.7,168.0,17.0,6.747422680412372,2.470078940667176,0
4050,10.11,154.0,17.0,6.676557863501484,2.4962962962962965,1
3834,9.82,154.0,15.0,6.507128309572301,2.5612936880542514,0
4396,10.35,153.0,16.0,7.078904991948471,2.3544131028207462,1
4372,10.75,149.0,16.0,6.77829457364341,2.458828911253431,1
4252,10.72,160.0,17.0,6.610696517412935,2.5211665098777045,0
3980,9.72,166.0,17.0,6.824417009602194,2.442211055276382,1
3992,10.11,158.0,18.0,6.5809429607649195,2.532565130260521,0
4013,9.97,146.0,15.0,6.708458709461719,2.4844256167455767,1
3910,10.04,154.0,16.0,6.490703851261621,2.567774936061381,0
4071,10.21,175.0,17.0,6.645445641527913,2.5079832964873496,0
4092,10.06,148.0,16.0,6.779324055666004,2.458455522971652,1
4196,10.07,151.0,16.0,6.944720291294273,2.399904671115348,1
4098,10.53,161.0,20.0,6.486229819563153,2.569546120058565,0
3963,10.1,148.0,15.0,6.53960396039604,2.548574312389604,0
3689,9.75,166.0,28.0,6.305982905982906,2.6429926809433453,0
