rep,Activity ID,Activity Date,Activity Name,sport,Activity Description,duration,distance,Max Heart Rate...8,relative_effort,Commute...10,Activity Gear,Athlete Weight,Bike Weight,Elapsed Time...15,Moving Time,Distance...17,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Average Cadence,Max Cadence,Max Heart Rate...30,Average Heart Rate,Max Watts,Calories,Max Temperature,Average Temperature,Relative Effort...37,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute...48,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,duration_mins,relative_effort_min,year
21,770894895,"Oct 22, 2016, 3:31:51 PM",Santa Barbara - Montecito,Run,Via RunGap,3946,10.09,154,65,FALSE,NA,64.5800018310547,NA,3946,3939,10094.7998046875,4.30000019073486,NA,17.1206512451172,NA,1.79999995231628,19.2000007629395,11,0.00594365410506725,NA,NA,79.9283676147461,97,154,136.732284545898,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.76666666666667,0.988342625443487,2016
22,770894918,"Oct 20, 2016, 1:37:37 PM",Elia - Fisherville,Run,Via RunGap,3814,9.639999999999999,165,23,FALSE,NA,64.5800018310547,NA,3814,3724,9640.599609375,4.19999980926514,NA,60.5576591491699,NA,166.800003051758,197.899993896484,5.80000019073486,0.00103727984242141,NA,NA,79.6380004882813,90,165,141.59814453125,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.56666666666667,0.3618248557944415,2016
23,770894921,"Oct 18, 2016, 10:16:03 PM",Swimming,Swim,Via RunGap,2091,1692,NA,NA,FALSE,NA,64.5800018310547,NA,2091,2091,1692,4.59999990463257,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.85,NA,2016
24,770894957,"Oct 19, 2016, 4:24:54 PM",Balboa Building - Montecito,Run,Via RunGap,3840,9.68,225,65,FALSE,NA,64.5800018310547,NA,3840,3721,9687.400390625,5.80000019073486,NA,12.9437503814697,NA,1.29999995231628,14.6999998092651,11,0,NA,NA,78.5600662231445,98,225,141.890014648438,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,1.015625,2016
25,770895016,"Oct 18, 2016, 4:00:52 PM",Santa Barbara - Montecito,Run,Via RunGap,3945,9.99,159,26,FALSE,NA,64.5800018310547,NA,3945,3894,9989,5.19999980926514,NA,17.1727275848389,NA,1.60000002384186,19.2000007629395,11.6999998092651,0,NA,NA,79.3364791870117,92,159,144.34748840332,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.75,0.39543726235741444,2016
26,770895050,"Oct 17, 2016, 4:17:37 PM",Santa Barbara - Montecito,Run,Via RunGap,4083,9.860000000000001,186,23,FALSE,NA,64.5800018310547,NA,4083,3860,9869,4.5,NA,17.2345447540283,NA,1.60000002384186,19.2000007629395,11.8999996185303,0.0101327393203974,NA,NA,79.1357955932617,93,186,132.945526123047,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.05,0.3379867744305658,2016
27,770895114,"Oct 16, 2016, 2:10:12 PM",Santa Barbara - Montecito,Run,Via RunGap,4028,9.98,157,16,FALSE,NA,64.5800018310547,NA,4028,3998,9982.900390625,4,NA,17.9694805145264,NA,0.699999988079071,19.2000007629395,10.8000001907349,0.00400685193017125,NA,NA,78.8895492553711,94,157,133.631759643555,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.13333333333334,0.23833167825223434,2016
28,770895148,"Oct 15, 2016, 3:10:50 PM",Santa Barbara - Montecito,Run,Via RunGap,3827,9.91,163,24,FALSE,NA,64.5800018310547,NA,3827,3732,9917.599609375,5.19999980926514,NA,17.4272727966309,NA,1.39999997615814,19.2000007629395,11.1999998092651,0.00806646794080734,NA,NA,79.5339584350586,103,163,142.341247558594,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.78333333333333,0.37627384374183437,2016
29,770895215,"Oct 13, 2016, 12:36:43 PM",Elia - Fisherville,Run,Via RunGap,3921,9.77,168,21,FALSE,NA,64.5800018310547,NA,3921,3842,9776.2998046875,4.69999980926514,NA,61.7145156860352,NA,166.800003051758,197.899993896484,5.90000009536743,-0.0051144091412425,NA,NA,79.8928756713867,95,168,139.28044128418,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.35,0.3213465952563122,2016
30,770895252,"Oct 11, 2016, 10:23:45 PM",Swimming,Swim,Via RunGap,2176,1669,NA,NA,FALSE,NA,64.5800018310547,NA,2176,2176,1669,4.59999990463257,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.266666666666666,NA,2016
