rep,Activity ID,Activity Date,Activity Name,sport,Activity Description,duration,distance,Max Heart Rate...8,relative_effort,Commute...10,Activity Gear,Athlete Weight,Bike Weight,Elapsed Time...15,Moving Time,Distance...17,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Average Cadence,Max Cadence,Max Heart Rate...30,Average Heart Rate,Max Watts,Calories,Max Temperature,Average Temperature,Relative Effort...37,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute...48,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,duration_mins,relative_effort_min,year
2861,1894553490,"Oct 9, 2018, 5:12:05 PM",Eccentrics,Workout,tendon so tweaked. come on!!,782,0,72,0,FALSE,NA,63.5028991699219,NA,782,782,0,0,NA,0,NA,-0.200000002980232,9.60000038146973,0,0,NA,NA,NA,NA,72,72,NA,14,NA,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.033333333333333,0,2018
2862,1894554959,"Oct 9, 2018, 4:05:46 PM",old faithful run,Run,"ran in zoom fly shoes today for a little spring.
helped a bit.",3929,9.729999999999999,205,164,FALSE,speed trainers,63.5028991699219,NA,3929,3918,9738,4.19999980926514,NA,79.8000030517578,NA,-2.59999990463257,11,24,0.0205380972474813,NA,NA,85.1298522949219,100,205,172.742477416992,NA,1068,NA,24,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3317814,NA,NA,NA,NA,NA,65.48333333333333,2.504454059557139,2018
2863,1895122764,"Oct 9, 2018, 10:16:02 PM",Stretchy swim,Swim,NA,1707,1350,212,81,FALSE,NA,63.5028991699219,NA,1707,1589,1350,2.29999995231628,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,212,166.456146240234,NA,460,NA,25,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.45,2.8471001757469243,2018
2864,1896741729,"Oct 10, 2018, 4:46:33 PM",Run to procrastinate,Run,Tried out gt-2000 v6 shoes. Not bad.,4255,9.69,203,230,FALSE,alt-stability,63.5028991699219,NA,4255,4085,9698,5,NA,71.4000015258789,NA,-1.60000002384186,13.1999998092651,22.8999996185303,0.0103114042431116,NA,NA,82.8119659423828,100,203,183.868850708008,NA,1329,NA,22,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3697033,NA,NA,NA,NA,NA,70.91666666666667,3.243243243243243,2018
2865,1896743813,"Oct 10, 2018, 5:58:23 PM",Tendon I hear you but will eccentrics placate you?,Workout,NA,1011,0,72,1,FALSE,NA,63.5028991699219,NA,1011,1011,0,0,NA,0,NA,7.59999990463257,17.3999996185303,0,0,NA,NA,NA,NA,72,72,NA,17,NA,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.85,0.05934718100890207,2018
2866,1899017104,"Oct 11, 2018, 10:29:55 PM",Recovery swim,Swim,NA,1762,1250,211,46,FALSE,NA,63.5028991699219,NA,1762,1712,1250,2.09999990463257,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,211,151.56330871582,NA,350,NA,25,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.366666666666667,1.5664018161180477,2018
2867,1900404947,"Oct 12, 2018, 5:01:50 PM",Morning Activity,Workout,NA,790,0,97,1,FALSE,NA,NA,NA,790,790,0,0,NA,0,NA,-0.200000002980232,9.39999961853027,0,0,NA,NA,NA,NA,97,95.8443069458008,NA,64,NA,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.166666666666666,0.0759493670886076,2018
2868,1900448322,"Oct 12, 2018, 3:54:04 PM",Morning Run,Run,NA,4012,9.91,196,66,FALSE,alt-stability,63.5028991699219,NA,4012,4003,9909,5.19999980926514,NA,93.5999984741211,NA,-3.79999995231628,16,24.3999996185303,0.0565142817795277,NA,NA,84.1312637329102,99,196,129.181137084961,NA,690,NA,26,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3697033,NA,NA,NA,NA,NA,66.86666666666666,0.9870388833499503,2018
2869,1902276402,"Oct 13, 2018, 3:07:30 PM",Eccentrics,Workout,NA,747,0,86,1,FALSE,NA,63.5028991699219,NA,747,747,0,0,NA,0,NA,28.7999992370605,32.4000015258789,0,0,NA,NA,NA,NA,86,82.0053558349609,NA,32,NA,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.45,0.08032128514056225,2018
2870,1902276926,"Oct 13, 2018, 1:34:43 PM",Run in the dark,Run,time change soon?,4316,10.07,NA,NA,FALSE,alt-stability,63.5028991699219,NA,4316,4308,10074,4.59999990463257,NA,56.7999992370606,NA,-3.59999990463257,14.6000003814697,24.3999996185303,0.0119118522852659,NA,NA,83.2391967773438,100,NA,NA,NA,681,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3697033,NA,NA,NA,NA,NA,71.93333333333334,NA,2018
2871,1904967982,"Oct 14, 2018, 2:35:13 PM",Morning Run,Run,NA,4180,10.08,211,215,FALSE,alt-stability,63.5028991699219,NA,4180,4173,10081,3.79999995231628,NA,78.5999984741211,NA,-5,14.6000003814697,22,0.0238071624189615,NA,NA,83.8516311645508,94,211,177.693283081055,NA,1250,NA,22,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3697033,NA,NA,NA,NA,NA,69.66666666666667,3.0861244019138754,2018
2872,1904968280,"Oct 14, 2018, 4:27:42 PM",Morning Activity,Workout,NA,1099,0,78,1,FALSE,NA,NA,NA,1099,1099,0,0,NA,0,NA,26.3999996185303,26.3999996185303,0,0,NA,NA,NA,NA,78,75.5113754272461,NA,28,NA,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.316666666666666,0.0545950864422202,2018
2873,1906745440,"Oct 15, 2018, 5:03:35 PM",Eccentrics,Workout,NA,777,0,101,1,FALSE,NA,63.5028991699219,NA,777,777,0,0,NA,0,NA,2.59999990463257,14.6000003814697,0,0,NA,NA,NA,NA,101,86.8712997436523,NA,44,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.95,0.07722007722007722,2018
2874,1906745945,"Oct 15, 2018, 3:51:25 PM",Mistakes were made run,Run,"On the upside, nice bandaid right?",4260,10,106,7,FALSE,alt-stability,63.5028991699219,NA,4260,4217,10003,4.69999980926514,NA,48.2000007629395,NA,-4,14.6000003814697,22,0.029991002753377,NA,NA,83.6158981323242,100,106,87.2322692871094,NA,438,NA,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3697033,NA,NA,NA,NA,NA,71,0.09859154929577464,2018
2875,1907150122,"Oct 15, 2018, 9:12:49 PM","Although I have no evidence to back this up, I suspect high bone density explains my swim pace 😂",Swim,NA,1738,1100,199,45,FALSE,NA,63.5028991699219,NA,1738,1700,1100,1.70000004768372,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,199,144.423965454102,NA,359,NA,25,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.966666666666665,1.5535097813578826,2018
2876,1910379456,"Oct 17, 2018, 1:47:43 PM",Morning Activity,Workout,NA,827,0,133,1,FALSE,NA,NA,NA,827,827,0,0,NA,0,NA,189.800003051758,196.399993896484,0,0,NA,NA,NA,NA,133,101.848854064941,NA,68,NA,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.783333333333333,0.07255139056831923,2018
2877,1910379640,"Oct 17, 2018, 12:37:27 PM",Grey run,Run,NA,4154,9.77,151,16,FALSE,stability_kickers_TO,63.5028991699219,NA,4154,4029,9769,3.9000000953674303,NA,83.1999969482422,NA,179.600006103516,206.600006103516,28.6000003814697,-0.0368512645363808,NA,NA,83.4656066894531,93,151,132.374969482422,NA,591,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3572576,NA,NA,NA,NA,NA,69.23333333333333,0.23110255175734232,2018
2878,1912533248,"Oct 18, 2018, 1:36:18 PM",First run with wooly hat and mittens,Run,NA,4196,9.77,153,17,FALSE,stability_kickers_TO,63.5028991699219,NA,4196,4129,9776,4.59999990463257,NA,97.4000015258789,NA,170.800003051758,205.600006103516,33.2999992370606,0.120703764259815,NA,NA,85.5241012573242,94,153,131.681274414063,NA,594,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3572576,NA,NA,NA,NA,NA,69.93333333333334,0.2430886558627264,2018
2879,1912533254,"Oct 18, 2018, 2:51:11 PM",Morning Activity,Workout,NA,970,0,144,2,FALSE,NA,NA,NA,970,970,0,0,NA,0,NA,187.199996948242,188,0,0,NA,NA,NA,NA,144,95.6185531616211,NA,53,NA,22,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.166666666666668,0.12371134020618556,2018
2880,1914365874,"Oct 19, 2018, 1:23:05 PM",Run in a bit of sun,Run,Forgot to do eccentrics. Darn.,4178,9.78,153,17,FALSE,stability_kickers_TO,63.5028991699219,NA,4178,4063,9784,4.69999980926514,NA,99.5999984741211,NA,170.600006103516,204.800003051758,27.6000003814697,0.163532301783562,NA,NA,82.7920227050781,94,153,132.720153808594,NA,601,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3572576,NA,NA,NA,NA,NA,69.63333333333334,0.24413595021541404,2018
2881,1916693533,"Oct 20, 2018, 2:08:20 PM",Brilliantly bright run yay!!,Run,NA,4130,10.15,209,195,FALSE,alt-stability,63.5028991699219,NA,4130,4019,10157,4.30000019073486,NA,45,NA,-3.59999990463257,13.6000003814697,26,0.0433198772370815,NA,NA,83.5456619262695,97,209,178.692962646484,NA,1229,NA,2,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3697033,NA,NA,NA,NA,NA,68.83333333333333,2.8329297820823247,2018
2882,1918933206,"Oct 21, 2018, 1:30:11 PM",Morning Run,Run,NA,4216,9.94,149,16,FALSE,alt-stability,63.5028991699219,NA,4216,4208,9939,4.19999980926514,NA,33.4000015258789,NA,-1.39999997615814,15.3999996185303,20.2000007629395,0.040245495736599,NA,NA,82.6437759399414,94,149,129.552047729492,NA,569,NA,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3697033,NA,NA,NA,NA,NA,70.26666666666667,0.22770398481973436,2018
2883,1919048552,"Oct 21, 2018, 3:15:02 PM",Morning Activity,Workout,NA,907,0,72,1,FALSE,NA,NA,NA,907,907,0,0,NA,0,NA,31.7999992370605,35.7999992370606,0,0,NA,NA,NA,NA,72,72,NA,16,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.116666666666667,0.0661521499448732,2018
2884,1919778081,"Oct 21, 2018, 9:28:17 PM",Afternoon Swim,Swim,NA,1559,1399,208,91,FALSE,NA,NA,NA,1559,1498,1398.69995117188,2.29999995231628,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,208,175.66667175293,NA,453,NA,26,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.983333333333334,3.5022450288646567,2018
2885,1921339674,"Oct 22, 2018, 5:48:43 PM",Morning Run,Run,NA,4282,10,153,16,FALSE,alt-stability,63.5028991699219,NA,4282,4252,10007,3.70000004768372,NA,46.4000015258789,NA,-3.40000009536743,14.3999996185303,18.7000007629395,0.0939342454075813,NA,NA,82.2579956054688,91,153,129.61994934082,NA,585,NA,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3697033,NA,NA,NA,NA,NA,71.36666666666666,0.22419430172816443,2018
2886,1921339772,"Oct 22, 2018, 7:02:12 PM",Lunch Activity,Workout,NA,834,0,237,10,FALSE,NA,NA,NA,834,834,0,0,NA,0,NA,-2.40000009536743,8.39999961853027,0,0,NA,NA,NA,NA,237,149.856109619141,NA,101,NA,29,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9,0.7194244604316546,2018
2887,1923370245,"Oct 23, 2018, 3:40:54 PM",Morning Activity,Workout,NA,500,0,72,0,FALSE,NA,NA,NA,500,500,0,0,NA,0,NA,11,11,0,0,NA,NA,NA,NA,72,72,NA,9,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.333333333333334,0,2018
2888,1924717226,"Oct 24, 2018, 2:34:26 PM",Morning Activity,Workout,NA,702,0,147,2,FALSE,NA,NA,NA,702,702,0,0,NA,0,NA,189.800003051758,191.199996948242,0,0,NA,NA,NA,NA,147,126.544158935547,NA,74,NA,21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,0.17094017094017094,2018
2889,1924717611,"Oct 24, 2018, 1:16:10 PM",Morning Run,Run,NA,4446,9.81,165,19,FALSE,stability_kickers_TO,63.5028991699219,NA,4446,4270,9815,3.70000004768372,NA,88,NA,172,203,32,0.0550178289413452,NA,NA,83.3931579589844,94,165,132.133544921875,NA,676,NA,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3572576,NA,NA,NA,NA,NA,74.1,0.25641025641025644,2018
2890,1926670720,"Oct 25, 2018, 2:27:45 PM",Morning Activity,Workout,NA,703,0,82,0,FALSE,NA,NA,NA,703,703,0,0,NA,0,NA,192.800003051758,192.800003051758,0,0,NA,NA,NA,NA,82,75.9516372680664,NA,19,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.716666666666667,0,2018
2891,1926674024,"Oct 25, 2018, 12:57:10 PM",Morning Run,Run,NA,4771,10.43,157,16,FALSE,stability_kickers_TO,63.5028991699219,NA,4771,4527,10433,6.80000019073486,NA,85.1999969482422,NA,166.600006103516,206.399993896484,46.2000007629395,-0.00191699410788715,NA,NA,83.2641906738281,94,157,122.782417297363,NA,556,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3572576,NA,NA,NA,NA,NA,79.51666666666667,0.2012156780549151,2018
2892,1928506722,"Oct 26, 2018, 3:25:53 PM",Morning Activity,Workout,NA,919,0,74,1,FALSE,NA,NA,NA,919,919,0,0,NA,0,NA,195.399993896484,195.399993896484,0,0,NA,NA,NA,NA,74,73.6169738769531,NA,19,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.316666666666666,0.06528835690968444,2018
2893,1928506964,"Oct 26, 2018, 2:02:55 PM",Morning Run,Run,NA,4315,9.79,153,16,FALSE,stability_kickers_TO,63.5028991699219,NA,4315,4064,9790,4.40000009536743,NA,82.5999984741211,NA,170.600006103516,206.399993896484,34.5,-0.0224719103425741,NA,NA,85.9610824584961,97,153,130.420684814453,NA,589,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3572576,NA,NA,NA,NA,NA,71.91666666666667,0.22247972190034762,2018
2894,1930334333,"Oct 27, 2018, 3:09:06 PM",Eccentrics,Workout,NA,995,0,72,1,FALSE,NA,63.5028991699219,NA,995,995,0,0,NA,0,NA,196.399993896484,196.399993896484,0,0,NA,NA,NA,NA,72,72,NA,17,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.583333333333332,0.06030150753768845,2018
2895,1930334580,"Oct 27, 2018, 1:06:22 PM",First run in a bit of snow,Run,NA,4682,10.360000000000001,152,17,FALSE,stability_kickers_TO,63.5028991699219,NA,4682,4599,10365,4,NA,97.8000030517578,NA,171,206,34,0.0270139891654253,NA,NA,84.5014114379883,94,152,125.492713928223,NA,581,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3572576,NA,NA,NA,NA,NA,78.03333333333333,0.21785561725758223,2018
2896,1932433080,"Oct 28, 2018, 2:36:38 PM",Morning Activity,Workout,NA,860,0,NA,NA,FALSE,NA,NA,NA,860,860,0,0,NA,0,NA,188.600006103516,189.199996948242,0,0,NA,NA,NA,NA,NA,NA,NA,92,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.333333333333334,NA,2018
2897,1932435376,"Oct 28, 2018, 1:15:49 PM",Morning Run,Run,NA,4490,9.79,159,15,FALSE,stability_kickers_TO,63.5028991699219,NA,4490,4390,9795,4.19999980926514,NA,89.4000015258789,NA,169.399993896484,206.399993896484,22.2000007629395,0.132720783352852,NA,NA,82.8938522338867,96,159,123.63599395752,NA,528,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3572576,NA,NA,NA,NA,NA,74.83333333333333,0.200445434298441,2018
2898,1934035222,"Oct 29, 2018, 1:59:47 PM",Morning Activity,Workout,NA,733,0,124,1,FALSE,NA,NA,NA,733,733,0,0,NA,0,NA,187.600006103516,196.600006103516,0,0,NA,NA,NA,NA,124,96.1691665649414,NA,44,NA,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.216666666666667,0.08185538881309685,2018
2899,1934035377,"Oct 29, 2018, 12:44:42 PM",Morning Run,Run,NA,4418,9.65,203,18,FALSE,stability_kickers_TO,63.5028991699219,NA,4418,4369,9656,3.5,NA,83.4000015258789,NA,171.600006103516,205.199996948242,34.5,0.043496273458004,NA,NA,83.5561141967773,94,203,130.5185546875,NA,598,NA,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3572576,NA,NA,NA,NA,NA,73.63333333333334,0.2444545043005885,2018
2900,1937716080,"Oct 31, 2018, 1:13:06 PM",Happy Halloween run,Run,Dressed up as a runner with rain gear. 🎃,4315,9.629999999999999,160,19,FALSE,stability_kickers_TO,63.5028991699219,NA,4315,4145,9634,5.09999990463257,NA,79.4000015258789,NA,170.600006103516,204.600006103516,23.1000003814697,0.107951007783413,NA,NA,84.2407150268555,94,160,136.10432434082,NA,671,NA,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3572576,NA,NA,NA,NA,NA,71.91666666666667,0.2641946697566628,2018
2901,1937763118,"Oct 31, 2018, 2:52:43 PM",Morning Activity,Workout,NA,731,0,86,0,FALSE,NA,NA,NA,731,731,0,0,NA,0,NA,195.800003051758,204,0,0,NA,NA,NA,NA,86,73.0246200561523,NA,15,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.183333333333334,0,2018
2902,1940123597,"Nov 1, 2018, 5:25:01 PM",Eccentrics,Workout,NA,585,0,72,0,FALSE,NA,63.5028991699219,NA,585,585,0,0,NA,0,NA,57.4000015258789,57.4000015258789,0,0,NA,NA,NA,NA,72,72,NA,13,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.75,0,2018
2903,1940123651,"Nov 1, 2018, 3:36:31 PM",Goleta beach ramble,Run,NA,4361,9.82,149,15,FALSE,alt-stability,63.5028991699219,NA,4361,4255,9820,4.19999980926514,NA,68,NA,-4,16.3999996185303,26.7000007629395,0.0305498987436295,NA,NA,85.1979751586914,100,149,123.787445068359,NA,534,NA,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3697033,NA,NA,NA,NA,NA,72.68333333333334,0.2063746847053428,2018
2904,1940356304,"Nov 1, 2018, 10:23:10 PM",Afternoon Swim,Swim,NA,1750,1275,205,95,FALSE,NA,NA,NA,1750,1719,1275,1.79999995231628,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,205,171.479080200195,NA,499,NA,26,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.166666666666668,3.257142857142857,2018
2905,1941658647,"Nov 2, 2018, 5:06:39 PM",Morning Activity,Workout,NA,848,0,72,1,FALSE,NA,NA,NA,848,848,0,0,NA,0,NA,-5.80000019073486,4.19999980926514,0,0,NA,NA,NA,NA,72,72,NA,15,NA,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.133333333333333,0.07075471698113207,2018
2906,1941658699,"Nov 2, 2018, 3:50:44 PM",Morning Run,Run,NA,4378,10,158,17,FALSE,alt-stability,63.5028991699219,NA,4378,4282,10005,5,NA,52.7999992370606,NA,-1.60000002384186,17.2000007629395,24.7999992370605,0.0539730116724968,NA,NA,81.9006576538086,99,158,131.186538696289,NA,609,NA,3,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3697033,NA,NA,NA,NA,NA,72.96666666666667,0.23298309730470534,2018
2907,1942027679,"Nov 2, 2018, 9:24:43 PM",Afternoon Swim,Swim,NA,1287,1500,101,2,FALSE,NA,NA,NA,1287,1271,1500,2.29999995231628,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,101,90.2202301025391,NA,193,NA,26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.45,0.09324009324009325,2018
2908,1943422002,"Nov 3, 2018, 1:40:34 PM",Bio4enviro run,Run,"Thinking about this. Pre-printed last night. 
https://peerj.com/preprints/27316/",4164,9.84,146,15,FALSE,alt-stability,63.5028991699219,NA,4164,4108,9841,3.9000000953674303,NA,37,NA,-3.59999990463257,15.3999996185303,20,0.0508078448474407,NA,NA,83.8074493408203,94,146,128.766555786133,NA,563,NA,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3697033,NA,NA,NA,NA,NA,69.4,0.21613832853025935,2018
